Block number, Locked TON, Spent TON
14109200, 17500000, 19615.0616121258
14290261, 0, 0
14489547, 0, 20000
14681237, 0, 0
14874554, 0, 0
15046664, 0, 0
15245811, 0, 1231.8489028411745
15442316, 0, 0
15641242, 0, 0
15863125, 0, 0
16077893, 0, 0
16299828, 0, 0
16521888, 0, 0
16721768, 0, 0
16942292, 0, 0
17153972, 0, 0
17373975, 0, 0
17587194, 0, 0
17808087, 0, 1143.0214992389438
18029651, 0, 0
18243613, 0, 0
18465217, 0, 0
18679510, 0, 0
18900569, 0, 0
19121565, 0, 0
19328268, 0, 0
