Block number, Burned seignorage
10643305, 0
10649058, 0
10844550, 0
11038191, 137.04286223677462
11233718, 121.7259165529293
11429070, 95.84936602000674
11624483, 1423.8109863771876
11819703, 127.06446854873413
12014729, 933.2016903745584
12209582, 355.11624126468143
12404058, 2016.911179713354
12597798, 849.6406545152576
12790656, 14206.413458378089
12981837, 9002.237814958213
13176102, 9236.923429947365
13369306, 2462.9463272056782
13560486, 9150.988215786441
13749768, 2661.8357902089797
13942928, 172.8960688271684
14136942, 743.9351982615992
14330802, 423.4799551488317
14523392, 19386.021013377638
14714760, 686.5352585400574
14900867, 440.04431028398335
15073482, 1552.3721051139605
15266955, 2820.982736102523
15456680, 671.7231435274272
15657628, 1221.2844144274136
15872374, 845.2050536264376
16087128, 1255.5230020902545
16301922, 2440.287478391705
16516811, 2625.8439421592057
16730960, 2904.29943085966
16944370, 407.3934730479351
17156053, 102.48370816896184
17368939, 1418.2395208497596
17582143, 23.085863412282926
17795873, 829.8360833525518
18010317, 1620.6931835154498
18224278, 349.4551922402984
18438721, 24.332492578736915
18653025, 455.19476197205194
18867048, 0.03605648799588192
