Block number, Staked (W)TON
10643305, 0
10649058, 0
10844550, 804226.4637713667
11038191, 2177228.010420346
11233718, 3518831.4526345157
11429070, 4464108.251855221
11624483, 5578479.027072562
11819703, 6385427.140196862
12014729, 8892900.706025196
12209582, 9762162.168361498
12404058, 10706774.888145056
12597798, 11289336.966602365
12790656, 9839298.711316777
12981837, 8614609.8443742
13176102, 11059207.118568446
13369306, 10674311.93083566
13560486, 10057423.240961425
13749768, 9956871.14602742
13942928, 10214978.141198723
14136942, 10202549.733631462
14330802, 10088558.501931762
14523392, 10333268.947832104
14714760, 10551530.380021371
14900867, 11444929.507754132
15073482, 11651810.382984998
15266955, 11683511.409609312
15456680, 11623322.523939498
15657628, 12113673.022429656
15872374, 12639656.745290885
16087128, 13486890.031668523
16301922, 13800052.070931185
16516811, 14232802.401453607
16730960, 14323021.719744053
16944370, 14563683.975108556
17156053, 15119770.529623844
17368939, 15277554.761725131
17582143, 15888382.646631995
17795873, 16454425.601296052
18010317, 16630391.98692313
18224278, 17061924.434091907
18438721, 17485483.927573938
18653025, 18048283.99230153
18867048, 18533967.542079445
