Block number, Burned seignorage
10643305, 0
10845316, 0
11038966, 137.04286223677462
11234509, 121.7259165529293
11429835, 95.84936602000674
11625272, 1423.8109863771876
11820431, 127.06446854873413
12015506, 933.2016903745584
12210356, 355.11624126468143
12404848, 2016.911179713354
12598570, 14325.410061940602
12791411, 730.644050952742
12982613, 9002.237814958213
13176884, 9236.923429947365
13370045, 2462.9463272056782
13561273, 9150.988215786441
13750536, 2661.8357902089797
13943668, 172.8960688271684
14137707, 743.9351982615992
14331580, 435.647059028943
14524145, 19373.853909497528
14715508, 686.5352585400574
14901619, 440.04431028398335
15074214, 1552.3721051139605
15267716, 2820.982736102523
15457438, 671.7231435274272
15658476, 1298.4530352777676
15873214, 768.0364327760836
16087974, 1255.5230020902545
16302763, 2440.287478391705
16517657, 2625.8439421592057
16731800, 2904.29943085966
16945212, 407.3934730479351
17156890, 102.48370816896184
17369780, 1418.2395208497596
17582986, 23.085863412282926
17796720, 829.8360833525518
18011162, 1620.6931835154498
18225124, 349.4551922402984
18439563, 24.332492578736915
18653869, 455.19476197205194
